,in-game purchases,region,community,optimization,matchmaking,cheating,server,maps,gameplay,character design,graphics,learning curve,player skills,teamwork
2019-11,46.4285714,32.7272727,54.4117647,46.3786531,49.0566038,37.1401152,36.3309353,49.6376812,70.4918033,54.028436,78.1609195,83.0769231,71.4285714,90.952381
2019-12,10.3448276,25.4901961,38.4615385,35.2818372,41.1764706,22.0430108,27.0471464,42.5742574,48.4848485,34.6938776,62.2222222,82.6086957,72.8571429,79.6875
2020-01,14.2857143,15.2777778,41.5384615,29.9689441,31.5384615,16.2386081,20.7381371,30.99631,49.2857143,24.1666667,47.5247525,76,67.3469388,78.2258065
2020-02,25,20.9302326,28.5714286,26.9487751,35.6435644,19.0410959,26.0273973,35.3488372,52.9411765,25,62.1621622,80,56.5217391,70
2020-03,0,4,10.8108108,21.6494845,19.4174757,14.0065147,15.9090909,20.1492537,38.1578947,9.0909091,36.1111111,55.5555556,42.3076923,66
2020-04,5.5555556,70.2380952,27.6595745,18.1818182,16.4556962,14.2697882,18.1058496,26.7080745,35.5769231,16.2601626,44.7761194,55,46.4285714,64.2857143
2020-05,5.8823529,14.8148148,27.1186441,18.1081081,17.6923077,17.1467764,16.0714286,20.5673759,36.9565217,40.7407407,50.6493506,70.8333333,31.9148936,57.4468085
2020-06,21.7391304,14.2857143,31.8181818,23.8693467,23.7037037,20.2623907,18.6956522,25.5319149,46.2365591,22.6890756,55.2380952,68.1818182,54.0540541,57.6923077
2020-07,10,12.5,25.4237288,25,23.0769231,19.96337,28.2722513,39.0243902,37.9746835,32.3232323,59.1836735,60.6060606,48.3870968,69.8412698
2020-08,44.4444444,16.6666667,16.6666667,21.9178082,23.2876712,20.8430913,18.5,36.875,29.8507463,26.5822785,47.3684211,71.4285714,29.4117647,63.9344262
2020-09,33.3333333,71.4285714,50,18.2795699,36.2068966,23.9263804,27.3504274,34.2465753,53.3333333,30.8641975,70.7317073,63.6363636,36,68.75
2020-10,11.5384615,3.4482759,44.4444444,25.8883249,29.1139241,19.3726937,16.9117647,21.5789474,32,32.3943662,53.968254,100,50,72.5
2020-11,30.7692308,21.7391304,38.2352941,34.8659004,38.75,25.3668763,30.4812834,30.3278689,57.8947368,48.4210526,61.2903226,77.7777778,50,81.7073171
2020-12,33.3333333,1.2765957,59.0909091,30.5825243,34.0206186,19.6721311,28.9156627,31.5315315,48.5148515,45.2631579,54.4444444,80.952381,55.5555556,73.2142857
2021-01,25,23.0769231,35.7142857,28.6956522,39.4230769,27.4193548,33.8129496,35.0961538,57.1428571,41.5730337,66.1538462,42.8571429,62.0689655,83.7209302
2021-02,12.5,10,28,25.7352941,34.375,22.4376731,28.8659794,25.6410256,50,40.9090909,61.2244898,100,72.7272727,69.047619
2021-03,0,0,42.1052632,29.2857143,31.9444444,22.7272727,27.5510204,26.5306122,50,36.25,50,63.6363636,53.8461538,79.0697674
2021-04,62.5,11.7647059,17.1428571,24.8648649,25.2873563,21.1627907,19.4444444,24.6987952,30.6451613,27.5862069,60.3448276,71.4285714,37.5,72.3404255
2021-05,20,50,13.3333333,24.4186047,25.3521127,25.2669039,27.2727273,32.5,38.4615385,45.9459459,70,50,60,77.7777778
