,in-game purchases,region,community,optimization,matchmaking,cheating,server,maps,gameplay,character design,graphics,audio,game balance,learning curve,player skills,teamwork
2017-03,0.010627698439056792,0.002324809033543673,0.025572899368980405,0.24676187313184988,0.03586848223181667,0.005313849219528396,0.17270009963467287,0.050813683161740286,0.06343407505812022,0.08402524078379275,0.04915310528063766,0.034540019926934576,0.014613085353703089,0.0036532713384257723,0.005313849219528396,0.027897708402524077
2017-04,0.01164316169235815,0.0004919645785503444,0.025746146277468022,0.24860610036077402,0.04001311905542801,0.022630370613315843,0.15250901935060676,0.06346343063299442,0.06559527714004591,0.07625450967530338,0.047720564119383406,0.02804198097736963,0.017874713020662514,0.005739586749754018,0.009839291571006888,0.03968514266972778
2017-05,0.012271133619010518,0.000584339696143358,0.02259446825087651,0.19127386053759252,0.04129333852746397,0.025321386832878847,0.1135566809505259,0.0584339696143358,0.0617452278924815,0.0625243474873393,0.03700818075574601,0.0255161667315933,0.013050253213868329,0.008180755746007013,0.013245033112582781,0.047331515387611996
2017-06,0.008360128617363344,0.0003215434083601286,0.018488745980707395,0.1581993569131833,0.03810289389067524,0.02765273311897106,0.10562700964630226,0.04340836012861737,0.04967845659163987,0.05048231511254019,0.030385852090032153,0.021704180064308683,0.0090032154340836,0.006752411575562701,0.00819935691318328,0.0522508038585209
2017-07,0.009461924304605563,0.0009119927040583675,0.01823985408116735,0.1234610123119015,0.03533971728226174,0.013679890560875513,0.06828545371637026,0.04594163246694027,0.04263565891472868,0.03989968080255358,0.03305973552211582,0.013907888736890105,0.007979936160510716,0.005699954400364797,0.010487916096671226,0.046511627906976744
2017-08,0.010517339397384877,0.0008527572484366117,0.025677468258480197,0.12611332196323669,0.02690922872844419,0.011749099867348872,0.07646389994314952,0.03297328027288232,0.05078643168466932,0.04036384309266629,0.022550691680879288,0.010327837786621186,0.006632556376729202,0.005590297517528899,0.010612090202766723,0.04216410839492136
2017-09,0.006493506493506494,0.0010822510822510823,0.016113516113516115,0.11243386243386243,0.022246272246272247,0.012506012506012507,0.058922558922558925,0.04028379028379028,0.035954785954785955,0.027417027417027416,0.02465127465127465,0.008778258778258777,0.007816257816257817,0.005411255411255411,0.00974025974025974,0.0386002886002886
2017-10,0.004112283211156803,0.0012515644555694619,0.010012515644555695,0.09368853924548542,0.017253709994636154,0.041033434650455926,0.08099409976756661,0.024852494189165027,0.026282853566958697,0.015644555694618274,0.01859467191131772,0.004201680672268907,0.004201680672268907,0.005185052744502056,0.007151796888968353,0.03200429107813338
2017-11,0.003256513026052104,0.0013026052104208416,0.008617234468937876,0.12409819639278558,0.013476953907815632,0.08166332665330661,0.061923847695390784,0.022995991983967935,0.025801603206412827,0.01598196392785571,0.01748496993987976,0.006212424849699399,0.0024549098196392787,0.0028557114228456915,0.00751503006012024,0.04443887775551102
2017-12,0.004553109212249735,0.0032433106717395374,0.010104160169650097,0.11962826669993139,0.018898521798789994,0.06287032994448949,0.1165720701054076,0.05114451443896963,0.028877939250296265,0.02207946111145762,0.022391317906817188,0.008794361629139899,0.0036799101852429367,0.004490737853177821,0.008295390756564585,0.036487245057069795
2018-01,0.0031482349789001274,0.07475383481813919,0.00971263982852167,0.06785451135374104,0.012391988746734544,0.09893495880501038,0.07662937906088821,0.034429633599035434,0.020497019224328488,0.015674191171545313,0.014468484158349521,0.00542568155938107,0.0030812512559448054,0.0034831535936767364,0.007167258356219439,0.029740772992162906
